Date,Open,High,Low,Close,Volume,Change
2016-01-04,25233,25333,24100,24100,61248,-0.04490151785360441
2016-01-05,23500,23866,23400,23500,74038,-0.024896265560165998
2016-01-06,23933,24600,23666,23967,79162,0.019872340425531876
2016-01-07,23533,24200,23266,23267,165624,-0.02920682605248881
2016-01-08,22800,23566,22400,23167,87711,-0.0042979326943739515
2016-01-11,22900,24166,22766,23267,94197,0.00431648465489709
2016-01-12,23366,23366,22666,22700,85429,-0.024369278377100567
2016-01-13,22866,23433,22866,23333,92837,0.027885462555066187
2016-01-14,23266,23366,22800,23100,40697,-0.009985856940813442
2016-01-15,23233,23266,22500,22700,54886,-0.017316017316017285
2016-01-18,22100,22300,21666,21933,54491,-0.033788546255506646
2016-01-19,22100,22400,21733,22333,34786,0.0182373592303835
2016-01-20,23100,24200,22500,23200,258587,0.03882147494738719
2016-01-21,23033,23033,22166,22333,59252,-0.03737068965517243
2016-01-22,22466,22733,22033,22433,48339,0.004477678771324989
2016-01-25,22433,22966,22433,22967,66192,0.023804217001738515
2016-01-26,22966,23600,22400,22733,99369,-0.010188531371097653
2016-01-27,23166,23300,22733,23100,57303,0.016143931729204253
2016-01-28,23000,23333,22966,23233,37615,0.00575757575757585
2016-01-29,23233,23333,22733,23033,47048,-0.008608444884431576
2016-02-01,23099,23433,23066,23267,78284,0.010159336604002922
2016-02-02,23300,23333,22633,22733,62303,-0.022950960587957203
2016-02-03,22600,22600,22099,22167,52408,-0.024897725773105228
2016-02-04,22233,22833,22200,22533,38010,0.016511029909324737
2016-02-05,22366,22666,22300,22667,28872,0.005946833533040374
2016-02-11,22133,22166,21466,21733,41265,-0.041205276392994206
2016-02-12,21166,21400,18533,19000,200145,-0.1257534624764184
2016-02-15,18733,19266,18333,19033,93657,0.0017368421052632588
2016-02-16,19266,19633,19066,19067,66239,0.0017863710397729715
2016-02-17,19066,19733,18500,18767,108450,-0.015733990664498876
2016-02-18,19000,19433,18933,19000,53075,0.01241541002824098
2016-02-19,19433,19899,19166,19567,63888,0.029842105263157892
2016-02-22,19866,19866,19133,19433,30243,-0.006848264935861437
2016-02-23,19533,19533,18900,18933,57946,-0.025729429321257657
2016-02-24,18933,19066,18766,18933,35784,0.0
2016-02-25,18966,19666,18966,19167,53375,0.012359372524164192
2016-02-26,19233,19533,19133,19200,22158,0.0017217091876662316
2016-02-29,19333,19333,18966,19067,27447,-0.0069270833333333615
2016-03-02,19500,19500,19200,19367,44062,0.015733990664498876
2016-03-03,19366,19533,19200,19467,44520,0.005163422316311284
2016-03-04,19466,19733,19366,19533,47794,0.003390352904915961
2016-03-07,19466,20933,19466,20933,139768,0.07167357804740693
2016-03-08,21133,21333,20500,21333,86358,0.019108584531600803
2016-03-09,21566,21966,21133,21967,65613,0.02971921436272451
2016-03-10,21933,21933,21533,21633,46549,-0.015204625119497384
2016-03-11,21633,21666,20933,21333,51476,-0.013867702121758474
2016-03-14,21466,21533,20833,21267,35801,-0.0030937983405990854
2016-03-15,21366,21366,20800,20800,30081,-0.02195890346546292
2016-03-16,20733,21500,20733,21400,66446,0.028846153846153744
2016-03-17,21333,21466,21099,21200,29306,-0.009345794392523366
2016-03-18,21666,21733,21133,21233,43228,0.001556603773584797
2016-03-21,21233,21600,21133,21300,44559,0.003155465548909664
2016-03-22,21333,21433,21000,21067,51323,-0.01093896713615028
2016-03-23,21066,21200,20600,20733,39113,-0.01585417952247592
2016-03-24,20733,21000,20600,20667,30004,-0.003183330921718963
2016-03-25,20866,20866,20566,20700,22261,0.0015967484395413845
