Date,Open,High,Low,Close,Volume,Change
2016-01-04,4502,4699,4502,4541,1003,0.012937764889582759
2016-01-05,4515,4960,4502,4566,129347,0.005505395287381587
2016-01-06,4464,5437,4317,4324,672939,-0.05300043802014898
2016-01-07,4375,4451,4197,4312,32411,-0.0027752081406104967
2016-01-08,4311,4311,3980,4280,36951,-0.007421150278293154
2016-01-11,4235,4279,4044,4076,19373,-0.047663551401869175
2016-01-12,4171,4190,4069,4102,4849,0.006378802747792012
2016-01-13,4139,4209,4019,4134,15857,0.007801072647489082
2016-01-14,4069,4158,4000,4076,12855,-0.014029995162070596
2016-01-15,4152,4152,3942,3943,9501,-0.032630029440628094
2016-01-18,4063,5125,4063,5126,193120,0.3000253613999493
2016-01-19,5125,5723,4464,4591,672119,-0.10436987904799067
2016-01-20,4712,4712,4190,4305,88754,-0.06229579612284908
2016-01-21,4330,4502,4254,4331,40289,0.006039488966318229
2016-01-22,4387,4960,4209,4331,303528,0.0
2016-01-25,4337,4426,4203,4337,42707,0.0013853613484184901
2016-01-26,4426,4693,4248,4401,142105,0.014756744293290325
2016-01-27,4476,4540,4324,4331,32794,-0.01590547602817538
2016-01-28,4330,4451,4317,4413,28871,0.018933271761717885
2016-01-29,4349,4426,4324,4382,30599,-0.007024699750736496
2016-02-01,4419,4578,4324,4452,53652,0.015974440894568787
2016-02-02,4578,4896,4451,4668,180936,0.04851752021563338
2016-02-03,4756,4896,4451,4706,84969,0.008140531276778162
2016-02-04,4705,4705,4464,4534,20895,-0.036549086272843145
2016-02-05,4699,4699,4483,4560,8974,0.005734450816056391
2016-02-11,4629,4629,4413,4528,12510,-0.007017543859649145
2016-02-12,4451,4521,4158,4299,19828,-0.05057420494699649
2016-02-15,4693,4693,4298,4439,8889,0.03256571295650157
2016-02-16,4565,5214,4419,4967,361800,0.11894570849290376
2016-02-17,4953,4972,4648,4782,85389,-0.03724582242802499
2016-02-18,4852,4852,4648,4808,18450,0.005437055625261422
2016-02-19,4833,4985,4648,4655,35999,-0.031821963394342734
2016-02-22,4686,4788,4457,4534,16185,-0.025993555316863537
2016-02-23,4693,4693,4337,4521,34458,-0.0028672254080281956
2016-02-24,4534,4559,4438,4534,3051,0.0028754700287547674
2016-02-25,4559,4578,4387,4445,16708,-0.019629466254962535
2016-02-26,4451,4464,4337,4388,7184,-0.012823397075365617
2016-02-29,4387,4502,4343,4343,10734,-0.010255241567912465
2016-03-02,4394,4559,4330,4439,10897,0.022104536034998956
2016-03-03,4496,4680,4438,4515,46428,0.017120973192160438
2016-03-04,4597,4642,4464,4579,9962,0.014174972314507261
2016-03-07,4642,4801,4565,4731,39965,0.03319502074688807
2016-03-08,4794,4794,4712,4757,5565,0.005495666878038374
2016-03-09,4763,4864,4661,4731,10082,-0.005465629598486399
2016-03-10,4756,5055,4623,4661,62475,-0.014796026210103563
2016-03-11,4699,4712,4629,4693,4176,0.0068654795108344935
2016-03-14,4718,4718,4578,4680,3217,-0.0027700831024930483
2016-03-15,4642,5220,4642,4979,210737,0.06388888888888888
2016-03-16,6461,6461,5011,5132,385076,0.030729062060654844
2016-03-17,5303,5322,4953,5138,62639,0.0011691348402183
2016-03-18,5074,5240,4839,5068,38964,-0.013623978201634857
2016-03-21,5074,5144,4985,5119,22421,0.010063141278610965
2016-03-22,5144,5240,5081,5138,15031,0.003711662434069174
2016-03-23,5138,5297,5087,5202,12665,0.01245620864149477
2016-03-24,5278,5278,4992,5087,18998,-0.022106881968473657
2016-03-25,5074,5201,4858,4878,18970,-0.0410851189306074
2016-03-28,5214,5831,5042,5049,72441,0.035055350553505615
2016-03-29,5214,5214,4960,5062,9475,0.002574767280649537
2016-03-30,5259,5259,5011,5049,7858,-0.0025681548794942444
2016-03-31,5049,5335,4985,5132,39529,0.016438898791840018
2016-04-01,5087,5271,5087,5215,12637,0.016173031956352224
2016-04-04,5214,5303,5087,5189,16504,-0.0049856184084372535
2016-04-05,5252,5252,4960,4960,20378,-0.04413181730583926
2016-04-06,4972,5030,4769,4871,11718,-0.017943548387096775
2016-04-07,4922,4928,4705,4878,7652,0.00143707657565173
2016-04-08,4934,4934,4718,4852,4452,-0.005330053300533044
2016-04-11,4833,4833,4667,4668,11307,-0.03792250618301729
2016-04-12,4833,5087,4674,4731,27643,0.013496143958869
2016-04-14,3777,4190,3777,4025,82093,-0.1492284929190446
2016-04-15,4184,4298,4044,4121,20824,0.023850931677018572
2016-04-18,4031,4171,4031,4045,7966,-0.01844212569764625
2016-04-19,4050,4184,4000,4051,13272,0.0014833127317677164
2016-04-20,4082,4146,4019,4102,3702,0.01258948407800542
2016-04-21,4222,4222,3993,4013,11660,-0.021696733300828885
2016-04-22,4133,4171,4019,4019,10047,0.0014951407924246318
2016-04-25,4019,4057,3777,3917,18072,-0.025379447623786966
2016-04-26,3936,4019,3821,3873,14833,-0.011233086545825888
2016-04-27,3885,4031,3885,3994,5501,0.03124193131939057
2016-04-28,3904,4063,3815,3886,21596,-0.02704056084126194
2016-04-29,3885,3961,3701,3962,15698,0.019557385486361323
2016-05-02,3974,4069,3955,4000,4394,0.009591115598182709
2016-05-03,3993,4184,3955,3955,8068,-0.011249999999999982
2016-05-04,3936,4000,3777,3777,8200,-0.04500632111251579
2016-05-09,3802,3847,3682,3682,10724,-0.025152237225311125
2016-05-10,3605,3809,3605,3797,13849,0.031233025529603387
2016-05-11,3764,3809,3688,3714,9131,-0.021859362654727432
2016-05-12,3650,3720,3624,3625,10857,-0.023963381798599914
2016-05-13,3624,3802,3586,3625,10362,0.0
2016-05-16,3650,3682,3421,3529,15640,-0.026482758620689606
2016-05-17,3510,3516,3325,3396,11142,-0.03768773023519412
2016-05-18,3395,3427,3186,3224,13407,-0.050647820965842194
2016-05-19,3211,3255,3084,3237,6999,0.0040322580645162365
2016-05-20,3154,3255,3154,3205,6530,-0.00988569663268457
2016-05-23,3211,3682,3160,3345,38785,0.043681747269890714
2016-05-24,3306,3370,3116,3116,20812,-0.06846038863976078
2016-05-25,3135,3186,3027,3059,15743,-0.018292682926829285
2016-05-26,3135,3135,3007,3040,7606,-0.006211180124223614
2016-05-27,3052,3154,3001,3052,10409,0.003947368421052699
2016-05-30,3058,3128,3046,3046,3851,-0.001965923984272644
2016-05-31,3058,3096,3020,3072,3670,0.008535784635587573
2016-06-01,3071,3103,3027,3065,4762,-0.0022786458333333703
2016-06-02,3065,3980,3065,3981,222628,0.298858075040783
2016-06-03,3980,4133,3446,3561,180025,-0.1055011303692539
2016-06-07,3612,3701,3319,3370,46741,-0.053636618927267676
2016-06-08,3370,3465,3249,3390,23116,0.005934718100890191
2016-06-09,3389,3389,3249,3332,14277,-0.017109144542772903
2016-06-10,3306,3949,3268,3370,136224,0.01140456182472982
2016-06-13,3351,3523,3306,3377,21318,0.0020771513353115
2016-06-14,3344,3440,3319,3320,11898,-0.016878886585727004
2016-06-15,3332,3357,3249,3307,12700,-0.003915662650602392
2016-06-16,3306,3535,3268,3364,16254,0.017236165709101803
2016-06-17,3338,3491,3294,3421,24331,0.016944114149821665
2016-06-20,3421,3751,3351,3383,35546,-0.011107863197895362
2016-06-21,3370,3427,3268,3288,13279,-0.02808158439255104
2016-06-22,3268,3364,3236,3313,13900,0.007603406326033957
2016-06-23,3287,3879,3287,3459,160427,0.04406881980078481
2016-06-24,3478,4496,3294,3618,476562,0.04596704249783179
2016-06-27,3821,4699,3821,4700,771122,0.29906025428413496
2016-06-28,4578,5017,4012,4095,535243,-0.12872340425531914
2016-06-29,4108,4178,3815,3841,147933,-0.06202686202686203
2016-06-30,3841,4057,3783,3949,116855,0.028117677688102027
2016-07-01,3949,3993,3828,3955,44475,0.001519371992909635
2016-07-04,3949,3968,3841,3892,33445,-0.015929203539822967
2016-07-05,3866,3936,3815,3911,24248,0.004881808838643309
