Date,Open,High,Low,Close,Volume,Change
2016-01-04,2030,2084,1990,2012,138938,-0.0034670629024269317
2016-01-05,1961,2101,1961,2071,125202,0.029324055666003934
2016-01-06,2070,2108,2037,2080,108334,0.004345726702076336
2016-01-07,2063,2129,2063,2085,128945,0.0024038461538462563
2016-01-08,2032,2124,2028,2085,155014,0.0
2016-01-11,2065,2084,2025,2054,114154,-0.014868105515587482
2016-01-12,2080,2080,1950,2005,119394,-0.02385589094449858
2016-01-13,1990,2037,1938,1948,132287,-0.028428927680797966
2016-01-14,1933,1964,1888,1964,84807,0.008213552361396204
2016-01-15,2004,2004,1938,1962,142787,-0.0010183299389001643
2016-01-18,1902,2072,1902,2009,122034,0.023955147808358834
2016-01-19,2080,2094,1980,2028,134799,0.009457441513190723
2016-01-20,2037,2077,2002,2031,181557,0.0014792899408284654
2016-01-21,2032,2037,1971,2014,74321,-0.008370260955194442
2016-01-22,1978,2018,1933,1981,117516,-0.01638530287984108
2016-01-25,1980,2030,1947,2019,104802,0.019182231196365418
2016-01-26,2018,2018,1933,1941,138543,-0.038632986627043064
2016-01-27,1914,1954,1848,1872,154695,-0.03554868624420404
2016-01-28,1907,1961,1850,1938,96419,0.03525641025641035
2016-01-29,1961,1961,1888,1920,123494,-0.009287925696594423
2016-02-01,1909,1928,1843,1858,146098,-0.03229166666666672
2016-02-02,1848,1924,1786,1882,88025,0.012917115177610405
2016-02-03,1921,2361,1864,2276,1246545,0.20935175345377255
2016-02-04,2110,2221,2006,2078,699454,-0.08699472759226712
2016-02-05,2075,2075,1928,1929,244232,-0.07170356111645815
2016-02-11,1879,1954,1860,1891,118519,-0.019699326075686918
2016-02-12,1890,1938,1796,1877,179044,-0.007403490216816522
2016-02-15,1874,1907,1848,1891,96567,0.0074587107085775095
2016-02-16,1938,1938,1872,1901,80161,0.005288207297726055
2016-02-17,1900,2410,1860,2146,1374831,0.1288795370857443
2016-02-18,2155,2176,2051,2111,243242,-0.016309412861136963
2016-02-19,2080,2231,2046,2165,220019,0.0255802936996683
2016-02-22,2169,2477,2143,2364,1565710,0.09191685912240177
2016-02-23,2401,2401,2219,2321,445400,-0.01818950930626062
2016-02-24,2278,2358,2259,2295,247096,-0.011202068074105953
2016-02-25,2313,2401,2276,2364,291333,0.030065359477124076
2016-02-26,2368,2373,2297,2321,147608,-0.01818950930626062
2016-02-29,2283,2358,2262,2269,165159,-0.022404136148212017
2016-03-02,2195,2269,2117,2229,214458,-0.017628911414720116
2016-03-03,2269,2299,2195,2300,132322,0.031852848811126044
2016-03-04,2297,2313,2238,2312,151329,0.00521739130434784
2016-03-07,2285,2299,2155,2229,335483,-0.03589965397923878
2016-03-08,2221,2221,2117,2125,196272,-0.04665769403319875
2016-03-09,2124,2172,2077,2144,111514,0.00894117647058823
2016-03-10,2143,2160,2039,2040,233089,-0.04850746268656714
2016-03-11,2049,2103,1940,2061,143800,0.010294117647058787
2016-03-14,2032,2070,1987,1995,173163,-0.03202328966521106
2016-03-15,1999,2061,1976,1986,127240,-0.004511278195488688
2016-03-16,2009,2016,1966,2002,100218,0.00805639476334341
2016-03-17,1985,2028,1964,2000,132252,-0.0009990009990009652
2016-03-18,1999,2077,1999,2052,123568,0.026000000000000023
2016-03-21,2108,2108,2032,2052,133638,0.0
2016-03-22,2080,2080,2004,2040,100167,-0.005847953216374324
2016-03-23,2039,2039,2004,2016,116694,-0.0117647058823529
2016-03-24,2002,2028,1940,1943,128575,-0.03621031746031744
2016-03-25,1938,1971,1883,1972,228262,0.014925373134328401
2016-03-28,1950,1987,1909,1946,85004,-0.013184584178498993
2016-03-29,1942,2044,1942,2019,135546,0.037512846865364935
2016-03-30,2042,2051,1957,1981,92494,-0.018821198613174883
2016-03-31,1980,2068,1957,1990,127043,0.004543160020191728
2016-04-01,1990,2035,1968,1995,303835,0.002512562814070307
2016-04-04,2108,2245,2028,2196,968075,0.10075187969924815
2016-04-05,2233,2290,2172,2215,430275,0.00865209471766848
2016-04-06,2214,2250,2108,2128,265754,-0.0392776523702032
