Date,Open,High,Low,Close,Volume,Change
2016-01-04,24725,24949,24150,24375,67033,-0.014155712841253831
2016-01-05,24150,24950,24150,24900,79491,0.021538461538461506
2016-01-06,25250,25300,24425,25050,119915,0.006024096385542244
2016-01-07,24950,25050,24575,25000,73948,-0.001996007984031989
2016-01-08,25000,25000,24200,24725,58545,-0.01100000000000001
2016-01-11,24325,24675,23625,23625,80484,-0.044489383215369105
2016-01-12,23525,23950,23350,23900,65717,0.011640211640211673
2016-01-13,23700,24749,23700,24500,59093,0.025104602510460206
2016-01-14,24200,26600,24075,26350,396481,0.07551020408163267
2016-01-15,26700,27399,26300,26900,191544,0.020872865275142205
2016-01-18,26550,27100,26100,26950,128357,0.0018587360594795044
2016-01-19,27100,27150,25500,26350,178299,-0.02226345083487946
2016-01-20,26300,26300,24999,25300,123442,-0.03984819734345346
2016-01-21,25050,26100,25050,25750,101190,0.01778656126482203
2016-01-22,25750,25900,24950,25250,102893,-0.01941747572815533
2016-01-25,25600,26450,25350,26150,118437,0.035643564356435675
2016-01-26,26249,26300,25600,25750,38189,-0.015296367112810683
2016-01-27,26100,26400,25600,25850,80989,0.003883495145631022
2016-01-28,25600,26199,25500,25900,37319,0.0019342359767891004
2016-01-29,26000,26550,25600,26500,59709,0.02316602316602312
2016-02-01,26550,26900,26200,26750,82683,0.009433962264151052
2016-02-02,26750,26750,25800,25800,72044,-0.03551401869158877
2016-02-03,25649,26300,25649,26000,53207,0.007751937984496138
2016-02-04,26200,26500,25950,26100,29015,0.0038461538461538325
2016-02-05,25900,26300,25850,25900,14024,-0.007662835249042099
2016-02-11,25500,26450,25200,25700,237336,-0.007722007722007707
2016-02-12,24975,26050,24724,25650,133164,-0.0019455252918287869
2016-02-15,25950,27100,25800,26400,199096,0.029239766081871288
2016-02-16,26500,27050,26150,26950,156015,0.02083333333333326
2016-02-17,27000,28000,26950,27700,222809,0.027829313543599188
2016-02-18,28100,29900,28050,29900,625230,0.07942238267148016
2016-02-19,30400,31049,29750,30800,407668,0.030100334448160515
2016-02-22,30900,31200,30300,30900,152521,0.0032467532467532756
2016-02-23,30850,30900,30000,30700,113854,-0.006472491909385147
2016-02-24,30700,31550,30500,30950,106518,0.008143322475570036
2016-02-25,30650,31650,30199,31100,196496,0.004846526655896577
2016-02-26,30950,31900,30700,31700,146162,0.019292604501607746
2016-02-29,32000,32399,30100,31850,341609,0.004731861198738141
2016-03-02,32350,32850,30500,31200,289122,-0.020408163265306145
2016-03-03,31000,31250,29200,30350,383892,-0.027243589743589758
2016-03-04,30500,31150,30200,31150,220291,0.02635914332784184
