Date,Open,High,Low,Close,Volume,Change
2016-01-04,16400,17250,15600,16400,1824250,0.05128205128205132
2016-01-05,16250,17000,15800,16350,673803,-0.0030487804878048808
2016-01-06,16800,19200,16450,16500,1756269,0.00917431192660545
2016-01-07,17000,18400,16600,18050,1066769,0.09393939393939399
2016-01-08,17450,18050,16850,17400,599153,-0.03601108033240996
2016-01-11,17500,18950,17400,18100,513431,0.04022988505747116
2016-01-12,18050,18500,17300,17650,283346,-0.024861878453038666
2016-01-13,17900,18050,17300,17400,211201,-0.014164305949008527
2016-01-14,17300,18000,16800,17750,327307,0.02011494252873569
2016-01-15,18100,18450,17350,17450,223553,-0.016901408450704203
2016-01-18,17050,17450,16800,17200,152974,-0.014326647564469885
2016-01-19,17350,17450,16750,17100,155147,-0.005813953488372103
2016-01-20,16900,17100,15900,15950,284085,-0.06725146198830412
2016-01-21,16100,16100,14750,15000,283629,-0.059561128526645746
2016-01-22,15750,15750,14950,15350,151621,0.023333333333333428
2016-01-25,15800,16900,15450,16900,274011,0.10097719869706845
2016-01-26,16550,17400,16450,17000,161275,0.00591715976331364
2016-01-27,17250,19500,17000,18800,684488,0.10588235294117654
2016-01-28,19100,19400,17950,18300,363665,-0.02659574468085102
2016-01-29,18450,18450,17500,18000,329980,-0.016393442622950838
2016-02-01,18000,18650,17500,17550,266931,-0.025000000000000022
2016-02-02,17500,17900,17000,17600,137647,0.002849002849002913
2016-02-03,17600,17800,17150,17750,129594,0.008522727272727293
2016-02-04,17950,18250,16550,17150,228239,-0.033802816901408406
2016-02-05,17300,17400,16300,16550,264559,-0.03498542274052474
2016-02-11,16000,16500,15700,15850,145538,-0.04229607250755285
2016-02-12,15850,16300,14550,15750,289765,-0.006309148264984188
2016-02-15,15900,16450,15850,16100,150018,0.022222222222222143
2016-02-16,16150,16800,16100,16800,117815,0.04347826086956519
2016-02-17,16700,16900,16350,16750,70002,-0.0029761904761904656
2016-02-18,16800,17200,16500,16600,92854,-0.008955223880596996
2016-02-19,17100,17100,16300,16400,117183,-0.012048192771084376
2016-02-22,16300,16600,16150,16500,95965,0.0060975609756097615
2016-02-23,16550,17300,16550,17200,265451,0.042424242424242475
2016-02-24,17250,17750,17000,17500,162750,0.01744186046511631
2016-02-25,17600,17600,17000,17150,94758,-0.020000000000000018
2016-02-26,17150,17450,16550,16800,107644,-0.020408163265306145
2016-02-29,16800,17200,16550,17050,74293,0.014880952380952328
2016-03-02,17050,17300,16500,16950,115141,-0.0058651026392961825
2016-03-03,16800,16900,16400,16400,98745,-0.03244837758112096
2016-03-04,16300,16700,15950,16600,121091,0.012195121951219523
2016-03-07,16350,16750,16200,16350,44375,-0.015060240963855387
2016-03-08,16350,16500,16150,16350,67335,0.0
2016-03-09,16150,16450,16100,16300,82304,-0.003058103975535187
2016-03-10,16200,16450,16200,16400,37512,0.006134969325153339
2016-03-11,16500,16500,16100,16200,31203,-0.012195121951219523
2016-03-14,16200,16250,16000,16150,59487,-0.0030864197530864335
2016-03-15,16300,16500,16150,16300,55334,0.009287925696594534
2016-03-16,16200,16350,16100,16200,29361,-0.006134969325153339
2016-03-17,16550,17500,16550,17300,361888,0.06790123456790131
2016-03-18,17300,17300,16850,16950,97701,-0.020231213872832332
2016-03-21,16950,17350,16900,16900,71971,-0.002949852507374673
2016-03-22,16900,17250,16850,17100,92547,0.01183431952662728
2016-03-23,17100,17500,16750,17350,141995,0.014619883040935644
2016-03-24,17500,17800,17350,17450,101855,0.0057636887608070175
2016-03-25,17600,17950,16900,17100,132788,-0.02005730659025784
2016-03-28,17300,17300,16050,16850,172482,-0.014619883040935644
2016-03-29,16700,17300,16600,17000,102453,0.008902077151335286
2016-03-30,17000,17250,16800,17150,57753,0.008823529411764675
2016-03-31,17100,17200,16850,16950,52243,-0.011661807580174877
2016-04-01,16900,17100,16550,16600,64813,-0.020648967551622377
2016-04-04,16550,16800,16500,16550,45167,-0.003012048192771122
2016-04-05,16550,16900,16400,16700,40186,0.009063444108761365
2016-04-06,16600,16750,16500,16700,50258,0.0
2016-04-07,16700,16800,16500,16600,63253,-0.005988023952095856
2016-04-08,16550,17500,16450,17300,190034,0.04216867469879526
2016-04-11,17500,18200,17250,17950,380535,0.037572254335260125
2016-04-12,17950,18250,17600,18050,196818,0.0055710306406684396
2016-04-14,17900,18150,17200,17300,177299,-0.04155124653739617
2016-04-15,17150,17950,17150,17900,146394,0.034682080924855585
2016-04-18,18000,18050,17450,17750,106292,-0.008379888268156388
2016-04-19,17800,18000,17600,17950,93146,0.011267605633802802
2016-04-20,18000,18000,17550,17550,89246,-0.02228412256267409
2016-04-21,17800,17850,17450,17750,83759,0.01139601139601143
2016-04-22,17800,17800,17300,17600,49831,-0.008450704225352101
2016-04-25,17500,17600,17300,17550,68085,-0.0028409090909090606
2016-04-26,17600,17600,17300,17500,55707,-0.002849002849002802
2016-04-27,17400,17800,17350,17500,62293,0.0
2016-04-28,17550,17650,17100,17150,100542,-0.020000000000000018
2016-04-29,17100,17350,17000,17300,49539,0.008746355685131268
2016-05-02,17150,17450,16900,17000,69442,-0.017341040462427793
2016-05-03,17000,17150,16900,16900,42028,-0.00588235294117645
2016-05-04,17050,17050,16600,16900,39726,0.0
2016-05-09,16900,16900,16700,16900,19278,0.0
2016-05-10,16800,17400,16750,17250,40515,0.020710059171597628
2016-05-11,17250,17450,17150,17450,50673,0.011594202898550732
2016-05-12,17500,17750,17050,17500,64096,0.002865329512893977
2016-05-13,18500,19200,18200,19150,983618,0.0942857142857143
2016-05-16,19000,19800,18850,19650,527534,0.02610966057441244
2016-05-17,19900,20250,19400,20200,334075,0.027989821882951738
2016-05-18,20000,21950,19550,20800,426270,0.02970297029702973
2016-05-19,20600,22000,19900,20350,519798,-0.02163461538461542
2016-05-20,20300,20600,19600,20000,235142,-0.017199017199017175
2016-05-23,20100,20400,19650,20300,164736,0.014999999999999902
2016-05-24,21050,21550,19950,20350,376886,0.0024630541871921707
2016-05-25,20250,21250,19850,21100,231091,0.03685503685503688
2016-05-26,21300,22550,21050,22200,416695,0.05213270142180093
2016-05-27,22400,22400,21300,21600,248993,-0.027027027027026973
