Date,Open,High,Low,Close,Volume,Change
2016-01-04,48100,48400,47500,47500,16408,-0.019607843137254943
2016-01-05,47050,47800,46800,47100,17305,-0.008421052631578996
2016-01-06,47100,47100,45100,46650,23691,-0.009554140127388533
2016-01-07,46600,46900,45400,46000,15269,-0.01393354769560562
2016-01-08,45000,45400,43750,45200,15977,-0.017391304347826098
2016-01-11,45200,46000,44000,45800,14722,0.01327433628318575
2016-01-12,46000,46200,45050,45150,8946,-0.014192139737991272
2016-01-13,45400,45850,44700,45550,6973,0.008859357696566983
2016-01-14,45000,45000,43800,44400,11924,-0.02524698133918768
2016-01-15,44900,44900,43300,43750,7649,-0.014639639639639657
2016-01-18,43500,44750,42250,44500,16783,0.017142857142857126
2016-01-19,44550,45100,43200,44000,8398,-0.011235955056179803
2016-01-20,44500,44750,42100,43100,10869,-0.020454545454545503
2016-01-21,43100,44000,42400,42850,8623,-0.0058004640371229765
2016-01-22,43450,43600,42000,43200,8009,0.008168028004667427
2016-01-25,43750,44700,43500,44650,6736,0.03356481481481488
2016-01-26,44650,44650,43650,44100,5650,-0.012318029115341522
2016-01-27,44400,44950,43600,44000,9281,-0.0022675736961451642
2016-01-28,44100,44100,42850,43800,7039,-0.004545454545454519
2016-01-29,44050,44050,43250,43600,5140,-0.004566210045662156
2016-02-01,43800,45000,43650,44800,11158,0.02752293577981657
2016-02-02,44950,45250,44450,44950,9048,0.0033482142857141906
2016-02-03,44900,45600,44050,44500,10952,-0.010011123470522798
2016-02-04,44750,47250,44500,46400,19718,0.04269662921348316
2016-02-05,47100,48100,46400,47950,20719,0.03340517241379315
2016-02-11,46900,46900,45500,45900,13585,-0.042752867570385766
2016-02-12,45500,45500,42250,43600,24274,-0.050108932461873645
2016-02-15,43750,44700,43750,44500,8704,0.020642201834862428
2016-02-16,44800,46900,44100,46050,10698,0.03483146067415732
2016-02-17,45850,47500,45850,46400,10965,0.007600434310532034
2016-02-18,47000,48200,46600,47250,9205,0.018318965517241326
2016-02-19,47650,47650,46500,47100,7348,-0.0031746031746031633
2016-02-22,47100,47100,46450,46800,6316,-0.006369426751592355
2016-02-23,47550,47550,46100,46300,8049,-0.010683760683760646
2016-02-24,46300,46500,45800,46300,5986,0.0
2016-02-25,46300,46900,45950,46250,6121,-0.001079913606911398
2016-02-26,46350,46500,45850,46250,11850,0.0
2016-02-29,46300,46300,45600,45900,6230,-0.007567567567567601
2016-03-02,46350,46350,45600,45800,10808,-0.002178649237472796
2016-03-03,45800,47600,45800,47150,14277,0.029475982532751077
2016-03-04,47500,47700,46850,47300,8794,0.0031813361611876534
2016-03-07,47100,48850,47100,48650,25274,0.02854122621564481
2016-03-08,48650,48950,47600,48050,14609,-0.012332990750256956
2016-03-09,48000,48000,47300,47700,15202,-0.007284079084287187
2016-03-10,47900,48700,47550,48600,13723,0.018867924528301883
2016-03-11,49700,51000,49300,49450,61083,0.017489711934156382
2016-03-14,49800,49800,48400,49050,17801,-0.008088978766430777
2016-03-15,48500,48850,47950,48500,17808,-0.011213047910295648
2016-03-16,48300,49100,48050,48200,23347,-0.006185567010309256
2016-03-17,48700,49000,47950,48300,7956,0.0020746887966804906
2016-03-18,48500,48500,47250,47300,19880,-0.020703933747411973
2016-03-21,47500,47500,46700,46900,10650,-0.008456659619450302
2016-03-22,47050,47250,46350,46900,9881,0.0
2016-03-23,46600,47000,46500,47000,12482,0.002132196162046851
2016-03-24,47000,47000,45950,46550,16639,-0.009574468085106425
2016-03-25,46250,46550,45400,45700,14112,-0.018259935553168627
2016-03-28,45400,45500,44500,45300,16980,-0.008752735229759279
2016-03-29,45300,46300,45300,46150,7446,0.01876379690949226
2016-03-30,46200,47150,46000,47100,15155,0.020585048754062862
2016-03-31,47500,48100,46800,47550,19104,0.009554140127388644
2016-04-01,47500,47750,46450,46850,8206,-0.014721345951629883
2016-04-04,46950,47000,45850,46050,15402,-0.01707577374599789
2016-04-05,46400,46400,45350,45750,8247,-0.006514657980456029
2016-04-06,45750,45800,45200,45700,6182,-0.0010928961748634114
2016-04-07,45950,45950,45250,45250,8321,-0.009846827133479175
2016-04-08,44850,45550,44850,45300,7617,0.0011049723756906271
2016-04-11,45500,46000,45250,45550,8683,0.0055187637969094094
2016-04-12,45600,46450,45350,45800,6044,0.005488474204171201
