Date,Open,High,Low,Close,Volume,Change
2016-01-04,34650,35250,33850,34050,74837,-0.027142857142857135
2016-01-05,34000,34100,33250,33400,70623,-0.019089574155653488
2016-01-06,33450,34300,32850,34200,78746,0.0239520958083832
2016-01-07,34250,34500,33450,34400,47821,0.005847953216374213
2016-01-08,34000,34650,33250,34650,128432,0.007267441860465018
2016-01-11,34150,36250,34150,35900,87631,0.03607503607503615
2016-01-12,36450,37550,35850,37450,125445,0.04317548746518107
2016-01-13,37850,39300,37150,38500,195747,0.028037383177569986
2016-01-14,37600,38500,37000,38500,66330,0.0
2016-01-15,39100,39700,38100,39250,107730,0.01948051948051943
2016-01-18,39400,39400,38200,38300,49499,-0.02420382165605095
2016-01-19,38000,38750,37650,37900,47870,-0.010443864229765065
2016-01-20,37900,38800,35400,36400,91520,-0.0395778364116095
2016-01-21,36400,36600,35150,35450,62852,-0.026098901098901117
2016-01-22,35500,37300,35450,37100,50652,0.04654442877291953
2016-01-25,37250,39200,37250,39200,77059,0.05660377358490565
2016-01-26,39200,39200,37400,38250,70945,-0.02423469387755106
2016-01-27,38900,40000,37850,38000,80944,-0.006535947712418277
2016-01-28,37700,39550,37400,39300,82116,0.03421052631578947
2016-01-29,38600,38950,37800,38600,326223,-0.01781170483460559
2016-02-01,39250,41250,38800,39750,189790,0.029792746113989743
2016-02-02,39750,40600,39150,39900,186143,0.0037735849056603765
2016-02-03,39850,40850,39500,40450,113631,0.013784461152882121
2016-02-04,41200,43200,40800,43100,337162,0.06551297898640307
2016-02-05,43400,43400,40950,41300,99008,-0.04176334106728541
2016-02-11,39150,40650,39000,39000,78573,-0.05569007263922521
2016-02-12,39300,40400,36150,37600,130417,-0.03589743589743588
2016-02-15,38100,39650,38100,39150,68646,0.04122340425531923
2016-02-16,39400,40900,39100,40050,65876,0.02298850574712641
2016-02-17,39400,40600,38150,38800,57903,-0.031210986267166008
2016-02-18,39350,40400,39350,39800,98914,0.025773195876288568
2016-02-19,39850,41600,39100,40900,157611,0.027638190954773822
2016-02-22,40900,40900,39700,40000,81244,-0.022004889975550168
2016-02-23,39800,40550,38400,38800,106154,-0.030000000000000027
2016-02-24,38200,39300,37400,37550,115196,-0.03221649484536082
2016-02-25,38000,38400,36950,37400,67375,-0.003994673768308976
2016-02-26,37950,37950,36550,36700,69944,-0.018716577540106916
2016-02-29,36750,37850,35600,35950,133445,-0.02043596730245234
2016-03-02,36500,36650,35350,35700,100327,-0.006954102920723182
2016-03-03,35900,35900,34750,35150,124290,-0.01540616246498594
2016-03-04,35200,35600,35050,35350,75365,0.005689900426742556
2016-03-07,35800,35850,34800,35100,86317,-0.007072135785007094
2016-03-08,34950,35650,34300,35500,103742,0.01139601139601143
2016-03-09,35300,36300,35200,36250,79648,0.021126760563380254
2016-03-10,36450,37450,36300,37050,149561,0.022068965517241468
2016-03-11,37500,37500,36000,36500,71586,-0.014844804318488558
2016-03-14,36500,36750,35550,35550,52965,-0.02602739726027392
2016-03-15,35600,36250,35350,36000,61312,0.012658227848101333
2016-03-16,35900,36500,34900,35100,118104,-0.025000000000000022
2016-03-17,35400,35700,35150,35300,85537,0.005698005698005604
2016-03-18,35500,35500,34700,34700,82994,-0.016997167138810165
2016-03-21,34700,34800,33800,34050,86233,-0.018731988472622474
2016-03-22,34050,34650,33950,34200,55911,0.004405286343612369
2016-03-23,34200,35400,34200,35250,63947,0.030701754385964897
2016-03-24,35250,36400,35100,36000,107788,0.02127659574468077
2016-03-25,36550,36550,35550,35700,44602,-0.008333333333333304
2016-03-28,36000,36650,35800,36500,114634,0.022408963585434094
2016-03-29,36500,36950,35600,35850,110685,-0.017808219178082174
2016-03-30,36300,36300,35000,35100,84151,-0.02092050209205021
2016-03-31,35300,35300,34300,34650,99362,-0.012820512820512775
2016-04-01,34350,35550,34300,34700,78894,0.0014430014430013571
2016-04-04,34800,36450,34800,36400,158848,0.04899135446685876
2016-04-05,36650,37400,36150,37300,201898,0.024725274725274637
