code,open,high,low,close,volume,change
036830,8140.5378973105135,8319.225753871231,7968.39445802771,8242.567237163814,340490.5077424613,0.0014757288121982472
037030,1842.0122249388753,1903.5044824775875,1774.8622656886716,1843.438467807661,705081.2379788101,0.0008211801339955362
037330,3838.121434392828,3952.1801140994294,3720.248573757131,3836.2754686226567,389692.7709861451,-5.7942096574873355e-06
037560,2284.2224938875306,2342.2730236348816,2236.154849225754,2383.408312958435,819752.6886715567,-0.0011970489074512177
037620,30431.988590057048,30930.195599022005,29875.183374083128,30389.405052974736,91340.23227383863,-0.00011494208410210084
038070,3365.1124694376526,3437.4588427057865,3288.454767726161,3349.288508557457,2045356.9380603097,0.00032469812668140983
038160,1245.7775061124694,1289.406682966585,1201.9405052974735,1580.6878565607171,2027535.9111654442,0.00018009725589124707
038530,1016.7212713936431,1040.1776691116545,995.9788101059495,1016.082314588427,830520.0814995925,0.0008665542082220889
039740,2577.5093724531375,2634.0236348818257,2513.466177669112,2580.9926650366747,171703.55012224938,0.0008257706059301694
041190,1200.277098614507,1234.1059494702527,1167.8492257538712,1198.8435207823961,1229545.173594132,0.001026468680362794
041440,3224.678076609617,3297.4246128769355,3162.39608801956,3223.5819070904645,111789.52648736756,0.0001125258367776075
041510,10022.734311328444,10199.572127139365,9838.166259168704,10020.0488997555,94777.29095354523,-5.436102306953771e-05
041920,3209.3740219092333,3337.5414710485134,3081.7402190923317,4359.8779342723,957822.3474178404,-0.0030993662577328356
042420,3706.9282803585984,3796.545232273839,3608.9388753056237,4609.616136919315,195086.74816625917,-8.609865041163998e-05
042510,4335.98207008965,4432.522412387938,4244.604726976365,4331.079869600652,560852.935615322,0.00033265525936487366
042600,5777.920945395273,5851.992665036675,5695.515892420538,5954.2233088834555,112103.94050529748,-6.190579461476916e-05
042660,3026.6112469437653,3117.8467807660963,2919.599837000815,3992.0285248573755,257741.13936430318,-8.899610717826512e-05
042670,1742.3056234718827,1801.7848410757947,1687.563977180114,1737.2444987775061,2739840.393643032,0.0011010383179876476
043100,6005.248573757131,6184.478402607987,5845.19152404238,6004.445802770986,378441.9299103505,0.0015637163305660888
043260,2438.026079869601,2528.0236348818257,2364.2559087204563,3115.079869600652,940947.3895680521,-0.00034670958627539943
043590,15962.0456397718,16289.21760391198,15599.99185004075,15940.888345558273,301127.0521597392,0.0010264011705337194
044340,1436.3422982885086,1477.7098614506926,1397.9413202933986,1447.2958435207825,2781762.272208639,0.0003445966045082194
045340,8137.258353708232,8242.144254278728,8018.819885900571,8137.316218418908,61061.88997555012,0.0002684466864885658
045390,7751.609616951915,7987.2167889160555,7484.77587612062,7710.59087204564,416547.0399348003,0.0011358513739639074
046140,15777.783211083944,16118.276283618581,15445.24042379788,15768.052159739202,179075.4001629992,0.0005523975282678679
046210,1687.233088834556,1723.081499592502,1655.2722086389567,1685.7432762836186,370440.78647106764,0.0004007082356909751
046890,29969.398533007334,30594.38793806031,29292.31621841891,29898.769356153218,35741.96251018745,-0.0006358322483974931
046970,5907.159739201304,6044.356153219234,5776.61369193154,5892.314588427058,890714.4425427873,0.0010514943880586443
047050,4387.938060309699,4492.867970660147,4296.770986145069,4374.784026079869,1153887.0806845967,0.0008311113956824448
048260,12819.649551752242,13053.480032599837,12570.562347188265,12815.281173594132,167247.44661776692,0.0007163489464351081
048410,3831.7326813365935,3911.970660146699,3748.40586797066,3831.251018744906,66795.84515077424,0.0008206196994259332
048430,3266.047269763651,3355.953545232274,3176.845965770171,3265.2648736756314,293441.81662591686,0.0015672700462513358
048530,4322.387938060309,4448.528932355338,4210.847595762021,4312.473512632437,5715780.346373268,0.0021076900693451804
048550,2204.629176854116,2256.9926650366747,2144.7351263243686,2200.1018744906273,219196.20619396903,0.0003924775196064891
049430,16411.202118989404,16809.0912795436,16012.579462102689,16393.21923390383,310897.706601467,0.0020910128686944755
049450,10680.39934800326,11039.372453137734,10407.485737571313,10693.154034229829,650610.34800326,0.0025292558822717546
049480,2057.475142624287,2122.195599022005,1991.804400977995,2057.1882640586796,1259000.7938060309,-0.0001262399195342621
050090,6669.510187449063,6809.994295028525,6483.387938060309,6641.58109209454,111207.02200488998,0.0006565156605049311
050120,1372.042379788101,1397.8956805215973,1345.6682966585167,1709.7098614506926,411482.65036674816,-0.00036778663953942065
051170,5012.20456397718,5124.466177669112,4908.20293398533,5009.81662591687,345336.56805215974,0.0008294922430053178
051370,4286.775061124695,4408.050529747351,4170.548492257539,4276.853300733496,1279729.1670741646,0.0007869390045033249
051380,7611.483292583537,7718.105134474327,7489.127954360229,7599.335778321109,59362.37815810921,-0.0004831764724364528
051490,5493.488182559087,5623.121434392828,5346.703341483292,5479.453952730237,154839.1271393643,0.0005427985017842054
051910,3497.0546047269763,3590.169519152404,3402.040749796251,3496.2958435207825,625904.162999185,0.0006634962673724552
051980,1602.0171149144255,1637.7538712306439,1566.3015484922576,1601.6169519152404,650052.0562347189,0.0008499738970130746
052300,8165.729421352893,8308.669926650367,8021.4180929095355,8190.266503667482,348721.9739201304,0.00016073746098233096
052400,18114.099429502854,18409.453952730237,17782.469437652813,18071.108394458028,740615.8524857375,0.0005700197868187364
052710,5098.504482477588,5244.6128769356155,4959.290953545233,5088.651181744091,471954.29910350445,0.0009571106674483161
052860,2486.18989405053,2549.0953545232273,2422.0741646291767,2479.7718011409943,560495.9747351264,-0.00026201953477088995
053030,5326.572942135289,5409.286878565607,5244.686226568867,5322.440912795436,1733195.0244498777,0.00021807748651887164
053300,19806.519967400163,20115.281173594132,19479.812550937244,19787.51426242869,380622.51589242055,0.00023068057088334603
053980,4161.960065199674,4260.362673186634,4055.6682966585167,4149.453952730237,379498.40749796253,8.593489323516363e-05
054340,6466.324368378158,6607.159739201304,6322.889160554198,6453.58598207009,927324.8924205379,0.001083094190982572
054670,2821.675631621842,2908.9282803585984,2758.3455582722086,2821.7848410757947,2676053.7628361857,0.0010520749873446963
054930,1550.2540620384048,1608.559822747415,1490.6085672082718,1786.274741506647,1219453.964549483,-0.0028898216247390833
056090,8094.788101059495,8257.709861450692,7896.132844335778,8065.529747351263,79128.55338223309,-9.120413272018982e-06
056360,6899.951100244499,7380.423797881011,6538.846780766096,8128.337408312958,920979.7620211899,-0.00027717599384080436
057880,45592.82803585982,46228.23960880196,44921.47514262429,45740.0162999185,685662.152404238,-0.0005530234339032144
