code,open,high,low,close,volume,abs_change,sq_abs_change,sq_abs_change100000
091220,6555.1418092909535,6595.339038304808,6502.62021189894,6554.120619396903,11169.468622656887,0.011324928863714083,0.00012825401376818436,12.825401376818435
091230,22533.864710676447,22703.81988590057,22325.56316218419,22524.935615321923,25403.19152404238,0.012299503381976424,0.0001512777834432495,15.12777834432495
091340,4915.6886715566425,5028.312958435208,4806.108394458028,4915.334148329258,203333.47432762836,0.020497488262974407,0.0004201470250907736,42.01470250907736
091440,3827.0863895680523,3925.3015484922576,3718.7041564792175,3816.8948655256722,162913.61124694376,0.024214373773292844,0.0005863358972327323,58.63358972327323
091580,8151.696006519967,8362.789731051345,7938.4433577832115,8149.737571312144,312273.0488997555,0.023256721383096462,0.0005408750894909762,54.08750894909762
091590,9585.346373268134,9882.40423797881,9336.42216788916,9580.929095354522,375504.62510187447,0.024139338489798774,0.0005827076627250806,58.270766272508055
091700,10342.135289323553,10519.894050529747,10147.25346373268,10319.99185004075,795329.131214344,0.019189437905002285,0.0003682345271099385,36.82345271099385
091810,3371.670588235294,3437.8672268907562,3301.687394957983,3363.1075630252103,436131.50420168065,0.021675590667212735,0.0004698312307725598,46.98312307725598
091970,4369.152404237979,4487.192339038304,4245.044824775876,4364.828850855746,700546.3854930726,0.025729669087760112,0.0006620158713656382,66.20158713656383
091990,75697.7880952381,77571.59880952381,73855.9119047619,75552.19404761905,1804329.5047619047,0.025697919325334405,0.0006603830576513954,66.03830576513954
092040,28232.136104319477,28932.53545232274,27548.297473512634,28231.87041564792,161117.60391198043,0.026109117534709275,0.0006816860184412633,68.16860184412633
092070,12390.179299103504,12643.59413202934,12101.833740831296,12377.318663406682,133103.53219233904,0.022134609881520786,0.0004899409546071177,48.99409546071176
092130,15882.39608801956,16010.896495517522,15674.78402607987,15886.234718826407,15056.304808475958,0.008555171738629698,7.319096347744828e-05,7.319096347744828
092190,17412.401960784315,18098.529411764706,16863.28431372549,17340.196078431374,1621378.205882353,0.038919682137332906,0.00151474165767103,151.47416576710302
092200,5579.044824775876,5673.674816625917,5467.167074164629,5566.567237163814,270978.6030969845,0.017045362919771115,0.0002905443970667081,29.054439706670806
092220,1168.6740016299918,1197.8361858190708,1143.4132029339853,1167.3284433577833,4690130.5199674005,0.022038779432388092,0.0004857077988694524,48.57077988694524
092230,59625.835370823144,60200.162999185006,58988.67155664221,59664.01792991035,9924.915240423798,0.008688494738069284,7.548994081345764e-05,7.548994081345763
092300,3257.318663406683,3311.4588427057865,3185.8964955175225,3260.4563977180114,172097.30888345558,0.016401143260618492,0.0002689975002553314,26.89975002553314
092440,4348.149959250204,4386.161369193154,4290.582722086389,4345.493072534638,46852.88182559087,0.008823128948907556,7.784760444905056e-05,7.784760444905056
092460,5226.806030969845,5340.740831295843,5111.235533822331,5223.19967400163,125517.95599022004,0.01896486208137452,0.0003596659937655571,35.96659937655571
092600,5454.052159739202,5616.117359413203,5307.757131214344,5447.031784841076,457119.5248573757,0.027705930926394434,0.0007676186084981395,76.76186084981396
092730,38931.8663406683,39669.396903015484,38120.08964955175,38922.98288508558,59715.16707416463,0.01913778076976855,0.00036625465279172296,36.625465279172296
092780,4849.488031914893,4960.505319148936,4747.852393617021,4846.921542553191,200502.74734042553,0.0191151021596305,0.00036538713057311065,36.538713057311064
092870,9080.129584352078,9301.867970660147,8849.615321923391,9080.55012224939,129640.06764466177,0.02377651929298213,0.0005653228696895515,56.532286968955155
093050,22643.61858190709,22976.218418907905,22307.807660961695,22649.005704971474,95712.85819070904,0.01500508739152152,0.0002251526476271981,22.51526476271981
