code,open,high,low,close,volume,sq_change,sq_change10000
029960,6348.9405052974735,6463.78565607172,6238.357783211084,6342.7139364303175,619286.8329258354,0.0006238471386268012,62.38471386268012
030000,20167.522412387938,20440.546047269763,19867.9706601467,20161.043194784026,383838.59250203747,0.00046003080221144175,46.003080221144174
030190,11623.21108394458,11867.106764466178,11389.771801140994,11639.388753056235,240659.10594947025,0.0007146266230335866,71.46266230335867
030200,28322.290138549306,28547.229013854932,28122.860635696823,28319.070904645476,684960.8215158924,0.00013191382651140432,13.191382651140431
030210,3190.044824775876,3249.074979625102,3128.9323553382233,3185.7742461287694,370271.49633251835,0.0007338324416588502,73.38324416588502
030270,26182.45759552656,27354.47064305685,25045.68406337372,26452.73159366263,4008595.0298229265,0.003274784853636541,327.4784853636541
030350,4311.895680521598,4426.065199674002,4189.773431132844,4302.321923390383,293289.77913610433,0.0017811968312594299,178.119683125943
030520,15675.957620211899,15919.722901385494,15395.916870415647,15649.20945395273,202787.66177669112,0.0005990043996440005,59.90043996440005
030530,5690.220863895681,5800.182559087205,5583.60065199674,5802.894865525673,726700.1051344743,0.0008930306995567881,89.30306995567881
030610,9162.559087204563,9277.823960880196,9032.836185819071,9156.80521597392,97298.69600651997,0.00039617067230067726,39.617067230067725
030720,9381.524042379788,9568.761206193969,9204.873675631621,9368.141809290953,173534.2216788916,0.0008478133170601027,84.78133170601026
030790,30273.58109209454,31321.24368378158,29215.961695191523,30304.665851670743,2593865.552567237,0.00242997025596149,242.997025596149
030960,8978.42705786471,9230.63162184189,8774.596577017115,8951.132844335778,193447.98777506113,0.001327863369494389,132.7863369494389
031310,3989.763651181744,4093.757131214344,3893.0032599837,3980.9820700896494,412148.282803586,0.0012596233160875865,125.96233160875865
031330,1988.7432762836186,2018.6112469437653,1956.3137734311329,1987.2648736756316,1016277.086389568,0.0005123688127253832,51.23688127253832
031390,41603.830480847595,42567.84841075795,40749.877750611246,41529.339853300735,235362.217603912,0.0011359813076003951,113.59813076003951
031430,139315.72942135288,142349.38875305624,136237.32681336594,139186.96006519967,45319.773431132846,0.000795802807372111,79.5802807372111
031440,111401.30399348003,112903.05623471882,109493.68378158109,111260.96169519152,14581.537897310513,0.00041789959295341467,41.78995929534147
031510,3318.19478402608,3405.920945395273,3241.1271393643033,3317.044009779951,793270.8019559903,0.00143283822813785,143.283822813785
031820,1117.4653626731867,1148.9739201303994,1093.0211898940506,1116.5762021189894,3805216.5599022005,0.001550533547940512,155.0533547940512
031860,3806.60228198859,3945.7718011409943,3656.9079054604726,3798.3659331703343,975355.7383863081,0.002802224613592184,280.2224613592184
031980,11966.656886715566,12208.59739201304,11701.933170334149,12288.629176854116,167857.9608801956,0.0007679338422418275,76.79338422418276
032080,2299.1238793806033,2351.548492257539,2252.563162184189,2296.9967400163,456348.3276283619,0.0008602764774866513,86.02764774866513
032190,11231.585167074165,11420.0162999185,11035.228198859006,11216.960065199673,203121.2339038305,0.0006555010371819381,65.55010371819381
032280,2304.7269763651184,2346.0065199674,2263.6308068459657,2304.074979625102,198561.3553382233,0.0005595422058386544,55.95422058386544
032300,21850.515463917527,23003.60824742268,21056.701030927834,21742.268041237112,1418111.5979381443,0.00419144629695205,419.144629695205
032350,11431.62184189079,11708.458027709861,11171.327628361858,11639.827220863895,210124.9478402608,0.0010142637698841333,101.42637698841332
032500,25464.43846780766,26056.58435207824,24826.315403422985,25458.635696821515,464899.1491442543,0.0011262767641997383,112.62767641997382
032540,3805.839445802771,3868.557457212714,3736.7807660961694,3802.673186634067,52064.663406682965,0.0003683316567201365,36.83316567201365
032560,7335.361858190709,7482.722086389568,7192.308068459658,7328.111654441728,139735.91035044825,0.0008429833060086388,84.29833060086388
032580,2057.2575387123065,2106.169519152404,2010.8638956805216,2053.725346373268,594926.3145884271,0.0011524649698438176,115.24649698438176
032620,5289.3806030969845,5415.647921760391,5178.280358598207,5283.973105134474,1038847.7408312958,0.0008889901690385456,88.89901690385456
032640,13298.084759576202,13491.59739201304,13103.480032599837,13290.309698451507,1859878.1703341482,0.0003809479902233143,38.09479902233143
032680,1929.1263243683782,1981.3072534637326,1880.1841890790547,1926.961695191524,1254706.2876935615,0.0012420978298643495,124.20978298643494
032685,26645.843520782397,27548.77750611247,25806.479217603912,26519.55990220049,15219.066014669927,0.002283607541805026,228.36075418050262
032750,8963.871230643847,9177.726161369194,8772.159739201305,8962.41238793806,131450.02200488996,0.0010783003448762076,107.83003448762076
032790,7486.561532192339,7801.7326813365935,7212.947840260798,9461.268133659332,382010.4466177669,0.0017850447657780373,178.50447657780373
032800,195.88019559902202,201.84596577017115,190.15321923390383,196.65036674816625,1824130.456397718,0.0017397645016870456,173.97645016870456
032820,972.758761206194,1002.7424612876936,943.9079054604726,984.1149144254279,4574527.418092909,0.0021267947942109366,212.67947942109365
032830,93074.00162999185,94215.32192339038,92042.50203748982,93107.45721271394,334090.8533007335,0.0004225781130592971,42.257811305929714
032850,6663.048084759576,6836.907090464548,6517.999185004075,6648.321108394458,883043.1043194784,0.0010724318648472398,107.24318648472398
032860,4953.371638141809,5127.37978810106,4799.352893235534,12590.254278728606,2042553.8052159739,0.001969755255684902,196.9755255684902
032940,5029.034229828851,5135.325998370008,4916.010594947025,5029.159739201304,125520.54441727791,0.0008477539432767719,84.77539432767719
032960,11694.317848410758,11876.547677261613,11494.36511817441,11718.051344743277,15499.549307253465,0.0005205954162697819,52.05954162697819
032980,1796.6577017114914,1855.0154849225753,1741.4254278728606,1793.80032599837,1215951.6903015485,0.0016592510109906182,165.9251010990618
033050,1260.1524042379788,1292.8956805215973,1228.556642216789,1259.9087204563978,488905.7644661777,0.0011055170941959892,110.55170941959892
033100,6262.974735126324,6456.422167889161,6095.554197229014,6256.7074164629175,752738.8296658517,0.0018287032448015318,182.8703244801532
033110,1617.7457212713937,1666.4637326813365,1561.0325998370008,1646.3716381418094,1772037.9380603097,0.0025291866594064653,252.91866594064652
033130,2651.98859005705,2715.9046454767727,2599.2868785656074,2650.521597392013,985816.8671556643,0.0010254857453497876,102.54857453497875
033160,9216.943765281174,9379.543602281989,9042.844335778322,9214.743276283618,264042.3455582722,0.0006152393582781207,61.52393582781207
033170,1246.5851670741647,1273.3308883455584,1222.842705786471,1243.844335778321,1344633.7229013855,0.0009599459992734944,95.99459992734944
