date,nsi
20170103,111.3
20170104,112.56
20170105,115.51
20170106,116.33
20170107,119.77
20170108,121.1
20170109,118.29
20170110,116.17
20170111,116.09
20170112,115.96
20170113,114.53
20170114,108.96
20170115,107.77
20170116,107.79
20170117,104.75
20170118,103.5
20170119,101.68
20170120,102.09
20170121,103.78
20170122,103.42
20170123,106.88
20170124,111.49
20170125,116.53
20170126,119.11
20170127,123.72
20170128,123.18
20170129,123.86
20170130,124.33
20170131,121.78
20170201,117.22
20170202,117.79
20170203,112.92
20170204,115.07
20170205,114.42
20170206,113.07
20170207,114.55
20170208,117.43
20170209,115.8
20170210,117.6
20170211,117.75
20170212,118.09
20170213,117.62
20170214,117.61
20170215,116.79
20170216,117.03
20170217,114.88
20170218,109.92
20170219,108.31
20170220,109.15
20170221,108.78
20170222,109.59
20170223,110.69
20170224,111.65
20170225,114.88
20170226,116.82
20170227,116.81
20170228,118.35
20170301,118.05
20170302,114.6
20170303,113.14
20170304,110.17
20170305,108.51
20170306,108.34
20170307,106.07
20170308,105.02
20170309,106.22
20170310,106.15
20170311,109.47
20170312,112.08
20170313,113.43
20170314,117.3
20170315,119.89
20170316,117.86
20170317,118.65
20170318,120.94
20170319,119.87
20170320,117.78
20170321,114.53
20170322,115.03
20170323,117.63
20170324,115.13
20170325,113.64
20170326,112.3
20170327,115.46
20170328,115.59
20170329,114.09
20170330,113.81
20170331,116.08
20170401,118.93
20170402,124.49
20170403,124.44
20170404,127.03
20170405,124.65
20170406,125.12
20170407,124.97
20170408,125.86
20170409,122.16
20170410,121.35
20170411,118.88
20170412,119.42
20170413,118.97
20170414,119.31
20170415,114.59
20170416,113.61
20170417,113.06
20170418,113.73
20170419,114.69
20170420,116.8
20170421,118.07
20170422,120.92
20170423,122.36
20170424,122.04
20170425,123.39
20170426,126.72
20170427,129.88
20170428,132.14
20170429,133.2
20170430,133.77
20170501,134.1
20170502,132.39
20170503,130.92
20170504,126.91
20170505,125.61
20170506,123.52
20170507,122.79
20170508,124.14
20170509,128.34
20170510,128.06
20170511,128.99
20170512,128.7
20170513,129.88
20170514,130.6
20170515,129.95
20170516,129.49
20170517,130.98
20170518,131.15
20170519,129.17
20170520,127.76
20170521,127.6
20170522,127.47
20170523,125.91
20170524,125.1
20170525,125.98
20170526,128.12
20170527,129.83
20170528,129.51
20170529,131.19
20170530,130.87
20170531,129.83
20170601,127.74
20170602,125.87
20170603,125.61
20170604,124.58
20170605,122.99
20170606,123.25
20170607,121.94
20170608,124.09
20170609,124.46
20170610,125.9
20170611,126.64
20170612,126.29
20170613,126.12
20170614,127.66
20170615,126.25
20170616,125.8
20170617,120.48
20170618,119.62
20170619,120.82
20170620,120.26
20170621,118.31
20170622,116.74
20170623,116.73
20170624,119.01
20170625,119.72
20170626,120.07
20170627,120.67
20170628,122.43
20170629,123.54
20170630,126.27
20170701,125.66
20170702,129.53
20170703,128.72
20170704,127.37
20170705,126.5
20170706,127.25
20170707,125.78
20170708,127.04
20170709,124.45
20170710,124.79
20170711,124.2
20170712,124.31
20170713,122.54
20170714,123.03
20170715,122.65
20170716,121.34
20170717,119.07
20170718,118.2
20170719,116.13
20170720,117.66
20170721,119.07
20170722,120.46
20170723,121.44
20170724,124.22
20170725,126.47
20170726,129.89
20170727,129.14
20170728,129.12
20170729,125.18
20170730,123.89
20170731,122.84
20170801,122.13
20170802,122.18
20170803,122.59
20170804,118.07
20170805,120.75
20170806,121.59
20170807,121.83
20170808,122.32
20170809,119.56
20170810,118.1
20170811,120.38
20170812,118.75
20170813,117.63
20170814,116.01
20170815,116.48
20170816,113.27
20170817,113.33
20170818,112.79
20170819,111.4
20170820,111.27
20170821,111.49
20170822,107.01
20170823,111.62
20170824,110.72
20170825,109.92
20170826,109.65
20170827,109.91
20170828,109.3
20170829,110.3
20170830,107.38
20170831,106.57
20170901,105.02
20170902,104.99
20170903,104.56
20170904,106.78
20170905,105.84
20170906,107.79
20170907,108.94
20170908,112.35
20170909,114.5
20170910,113.64
20170911,112.31
20170912,115.58
20170913,116.67
20170914,116.66
20170915,116.18
